
2019;Dezembro;16/12/2019 18:26:06;6769
2020;Março;16/12/2019 18:26:56;4574754
2019;Fevereiro;16/12/2019 18:27:32;124124
2019;Janeiro;16/12/2019 18:28:56;44423
2019;Janeiro;16/12/2019 18:29:56;2345
2020;Março;16/12/2019 18:32:08;543554
2019;Fevereiro;16/12/2019 19:28:27;6565
2019;Fevereiro;16/12/2019 19:29:35;456456
2020;Fevereiro;16/12/2019 19:30:45;567567
2019;Fevereiro;16/12/2019 19:33:31;564546
2019;Fevereiro;16/12/2019 19:34:50;234234
2019;Janeiro;16/12/2019 19:35:50;5656
2019;Fevereiro;16/12/2019 19:43:58;4545
